Source,Location ID,Jurisdiction,Latitude,Longitude,Time Zone,Local Time Zone,Distance to Shore,Directionality Coefficient,Energy Period,Maximum Energy Direction,Mean Absolute Period,Mean Wave Direction,Mean Zero-Crossing Period,Wave Power,Peak Period,Significant Wave Height,Spectral Width,Water Depth,Version
DOE-WPTO US Wave dataset,97045,b'Federal',18.333422,-155.75226,0,-10,64277.215,-,s,deg,s,deg,s,W/m,s,m,-,4970.0254,v1.0.0
Year,Month,Day,Hour,Minute,Directionality Coefficient,Energy Period,Maximum Energy Direction,Mean Absolute Period,Wave Power,Peak Period,Significant Wave Height,Spectral Width
2010,11,5,15,0,0.6855229735374451,6.817299842834473,198.75,5.80210018157959,18218,6.730500221252441,2.3359200954437256,0.39882999658584595
2010,11,5,18,0,0.6817420125007629,6.803699970245361,198.75,5.759699821472168,16890,6.730500221252441,2.25150990486145,0.4067099988460541
2010,11,5,21,0,0.6933330297470093,6.726399898529053,198.75,5.647799968719482,16472,6.730500221252441,2.236989974975586,0.4122999906539917
2010,11,6,0,0,0.6758679747581482,6.753399848937988,191.25,5.598199844360352,14043,6.730500221252441,2.061460018157959,0.42785999178886414
2010,11,6,3,0,0.6614810228347778,6.835899829864502,191.25,5.611599922180176,12607,6.730500221252441,1.9413399696350098,0.4341599941253662
2010,11,6,6,0,0.6849049925804138,6.768499851226807,191.25,5.605500221252441,13577,8.12440013885498,2.02455997467041,0.4230000078678131
2010,11,6,9,0,0.7359510064125061,6.473999977111816,198.75,5.4268999099731445,18310,6.730500221252441,2.4046599864959717,0.40404999256134033
2010,11,6,12,0,0.7683650255203247,7.083600044250488,206.25,6.201600074768066,21664,8.12440013885498,2.4982500076293945,0.3379800021648407
2010,11,6,15,0,0.7541159987449646,7.128499984741211,206.25,6.152299880981445,19409,8.12440013885498,2.3575100898742676,0.3528600037097931
2010,11,6,18,0,0.7433940172195435,7.048299789428711,198.75,6.031700134277344,18286,8.12440013885498,2.30145001411438,0.36535999178886414
2010,11,6,21,0,0.7597540020942688,7.0208001136779785,206.25,6.0655999183654785,20048,8.12440013885498,2.41441011428833,0.3522700071334839
2010,11,7,0,0,0.8136000037193298,7.098199844360352,206.25,6.320000171661377,28665,8.12440013885498,2.87034010887146,0.30867999792099
2010,11,7,3,0,0.7887960076332092,7.1346001625061035,198.75,6.2453999519348145,21925,8.12440013885498,2.504309892654419,0.32934999465942383
2010,11,7,6,0,0.794776976108551,6.929900169372559,198.75,5.975800037384033,22587,8.12440013885498,2.579659938812256,0.3461900055408478
2010,11,7,9,0,0.7980369925498962,6.972799777984619,198.75,6.072800159454346,23564,8.12440013885498,2.6265199184417725,0.3337700068950653
2010,11,7,12,0,0.7873929738998413,7.049699783325195,198.75,6.174699783325195,21958,8.12440013885498,2.5212199687957764,0.33083000779151917
2010,11,7,15,0,0.7733209729194641,7.029699802398682,191.25,6.069799900054932,20221,8.12440013885498,2.42330002784729,0.3471899926662445
2010,11,7,18,0,0.7705950140953064,7.118500232696533,191.25,6.163400173187256,19912,8.12440013885498,2.389389991760254,0.34512001276016235
2010,11,7,21,0,0.7784320116043091,7.103799819946289,191.25,6.176300048828125,21636,8.12440013885498,2.4931800365448,0.33983999490737915
2010,11,8,0,0,0.7766389846801758,7.096700191497803,191.25,6.064799785614014,20572,8.12440013885498,2.4329800605773926,0.35479000210762024
2010,11,8,3,0,0.7997949719429016,6.927800178527832,191.25,5.936299800872803,24099,8.12440013885498,2.6650800704956055,0.35578998923301697
2010,11,8,6,0,0.8101599812507629,7.202199935913086,191.25,6.303800106048584,26691,8.12440013885498,2.749969959259033,0.3293600082397461
2010,11,8,9,0,0.8072180151939392,7.3155999183654785,198.75,6.452600002288818,28867,8.12440013885498,2.837290048599243,0.32256999611854553
2010,11,8,12,0,0.7998830080032349,7.238500118255615,198.75,6.323400020599365,29604,8.12440013885498,2.8890199661254883,0.3368400037288666
2010,11,8,15,0,0.7916300296783447,7.412600040435791,198.75,6.469099998474121,29867,8.12440013885498,2.867069959640503,0.3404499888420105
2010,11,8,18,0,0.7833250164985657,7.531599998474121,191.25,6.511199951171875,29181,8.12440013885498,2.8117001056671143,0.3501099944114685
2010,11,8,21,0,0.76146399974823,7.593299865722656,191.25,6.438300132751465,25748,8.926199913024902,2.6307199001312256,0.37117999792099
2010,11,9,0,0,0.7378990054130554,7.712500095367432,183.75,6.45419979095459,23351,8.926199913024902,2.4858899116516113,0.3819600045681
2010,11,9,3,0,0.7507550120353699,7.473100185394287,191.25,6.253799915313721,27365,8.926199913024902,2.7343099117279053,0.38242000341415405
2010,11,9,6,0,0.7512450218200684,7.679100036621094,191.25,6.535299777984619,28289,8.926199913024902,2.74180006980896,0.36305999755859375
2010,11,9,9,0,0.7510169744491577,7.783299922943115,191.25,6.659900188446045,28228,8.926199913024902,2.720210075378418,0.3535900115966797
2010,11,9,12,0,0.7480379939079285,7.809899806976318,191.25,6.677499771118164,26396,8.926199913024902,2.626009941101074,0.35190001130104065
2010,11,9,15,0,0.7368980050086975,7.862599849700928,191.25,6.657199859619141,23368,8.926199913024902,2.4626901149749756,0.3569900095462799
2010,11,9,18,0,0.7360259890556335,7.8506999015808105,191.25,6.649099826812744,22000,8.926199913024902,2.3912999629974365,0.35705000162124634
2010,11,9,21,0,0.74167799949646,7.719299793243408,191.25,6.461599826812744,21613,8.926199913024902,2.3905999660491943,0.3666900098323822
2010,11,10,0,0,0.7493370175361633,7.708000183105469,183.75,6.440800189971924,20810,8.926199913024902,2.3476500511169434,0.3652600049972534
2010,11,10,3,0,0.7455189824104309,7.972700119018555,183.75,6.720699787139893,18389,8.926199913024902,2.169610023498535,0.3491399884223938
2010,11,10,6,0,0.7409930229187012,7.882999897003174,183.75,6.566400051116943,17373,8.926199913024902,2.1210899353027344,0.3616200089454651
2010,11,10,9,0,0.7284330129623413,7.8354997634887695,183.75,6.51230001449585,16648,8.926199913024902,2.082659959793091,0.36858001351356506
2010,11,10,12,0,0.7171469926834106,7.777299880981445,183.75,6.377500057220459,16110,8.926199913024902,2.0566599369049072,0.38207998871803284
2010,11,10,15,0,0.7119539976119995,7.665900230407715,183.75,6.278299808502197,16160,8.926199913024902,2.0748000144958496,0.3900499939918518
2010,11,10,18,0,0.7202780246734619,7.445099830627441,183.75,6.127099990844727,16940,8.926199913024902,2.1555700302124023,0.39548999071121216
2010,11,10,21,0,0.7216219902038574,7.408400058746338,183.75,6.161200046539307,16958,8.926199913024902,2.161799907684326,0.3887700140476227
2010,11,11,0,0,0.7268339991569519,7.256800174713135,183.75,5.975599765777588,16800,8.926199913024902,2.174560070037842,0.398140013217926
2010,11,11,3,0,0.7311829924583435,7.09630012512207,183.75,5.870699882507324,16932,8.926199913024902,2.207629919052124,0.3998199999332428
2010,11,11,6,0,0.7391200065612793,7.027599811553955,183.75,5.8684000968933105,17278,8.926199913024902,2.240880012512207,0.39186999201774597
2010,11,11,9,0,0.7269669771194458,7.074699878692627,191.25,5.938399791717529,16621,8.926199913024902,2.1903600692749023,0.3862699866294861
2010,11,11,12,0,0.7301390171051025,6.878900051116943,191.25,5.700799942016602,16711,8.12440013885498,2.228019952774048,0.40077000856399536
2010,11,11,15,0,0.7319300174713135,6.922699928283691,191.25,5.774199962615967,16809,8.12440013885498,2.2273199558258057,0.3926500082015991
2010,11,11,18,0,0.7285799980163574,7.0883002281188965,183.75,5.986499786376953,16899,8.12440013885498,2.2063400745391846,0.3770900070667267
2010,11,11,21,0,0.735427975654602,7.042200088500977,191.25,6.002399921417236,18484,8.12440013885498,2.314889907836914,0.3686099946498871
2010,11,12,0,0,0.7506300210952759,6.965400218963623,191.25,5.877600193023682,19259,8.12440013885498,2.3765199184417725,0.37571001052856445
2010,11,12,3,0,0.7485910058021545,6.982699871063232,191.25,5.8668999671936035,18487,8.12440013885498,2.325360059738159,0.38291001319885254
2010,11,12,6,0,0.756837010383606,7.040900230407715,191.25,6.003900051116943,19416,8.12440013885498,2.37280011177063,0.3691999912261963
2010,11,12,9,0,0.7592129707336426,7.016600131988525,191.25,6.017300128936768,20301,8.12440013885498,2.430269956588745,0.36469998955726624
2010,11,12,12,0,0.7543910145759583,7.047900199890137,191.25,6.011899948120117,19498,8.12440013885498,2.3766300678253174,0.3701399862766266
2010,11,12,15,0,0.7601680159568787,7.089799880981445,191.25,6.057300090789795,19804,8.12440013885498,2.3879899978637695,0.3682900071144104
2010,11,12,18,0,0.7718679904937744,7.0553998947143555,191.25,5.992099761962891,21377,8.12440013885498,2.4875900745391846,0.36974000930786133
2010,11,12,21,0,0.792227029800415,7.041200160980225,191.25,6.042099952697754,23881,8.12440013885498,2.631510019302368,0.35747000575065613
2010,11,13,0,0,0.791824996471405,7.187300205230713,191.25,6.188899993896484,21840,8.12440013885498,2.490540027618408,0.35280999541282654
